"Show Password";"Show Password"
"Hide Password";"Hide Password"
"You have no message.";"You have no message."
"%s person";"%s person";"%s people"
"(No Subject)";"(No Subject)"
"Reply";"Reply"
"Delete";"Delete"
"Mark All Read";"Mark All Read"
"Add Friend";"Add Friend"
"Ignore Request";"Ignore Request"
"See All Friend Request";"See All Friend Request"
"You have no any friend request.";"You have no any friend request."
"People You May Know";"People You May Know"
"Remove";"Remove"
"There are no more members.";"There are no more members."

# SESATOZ_MOBILE_APPLINNK
"_EMAIL_SESATOZ_MOBILE_APPLINNK_TITLE";"Mobile Apps Links"
"_EMAIL_SESATOZ_MOBILE_APPLINNK_DESCRIPTION";"This email will be sent to members when payment for their advertisement is pending."
"_EMAIL_SESATOZ_MOBILE_APPLINNK_SUBJECT";"SocialEngineSolutions Native Mobile Apps Links"
"_EMAIL_SESATOZ_MOBILE_APPLINNK_BODY";"[header]

Thank you for your interest in our mobile apps.

You can explore our community in your mobile phones by downloading from supporting below URLs:

[applinkcontent]

For any custom requirement, doubt or query, please feel free to contact us.


[footer]"


# SESATOZ_MOBILE_SUBSCRIBE
"_EMAIL_SESATOZ_MOBILE_SUBSCRIBE_TITLE";"Newsletter Subscription"
"_EMAIL_SESATOZ_MOBILE_SUBSCRIBE_DESCRIPTION";"This email will be sent to users when they subscribe to newsletter."
"_EMAIL_SESATOZ_MOBILE_SUBSCRIBE_SUBJECT";"Newsletter Subscription"
"_EMAIL_SESATOZ_MOBILE_SUBSCRIBE_BODY";"[header]

Thank you for subscribing to our newsletter.

[footer]"


"What Unique Are We Doing Inside?";"What Unique Are We Doing Inside?"
"Our Community is unique due to various factors. Few of them are mentioned below:";"Our Community is unique due to various factors. Few of them are mentioned below:"
"Flexible";"Flexible"
"Our community is available 24x7, so you can use it as per your flexibility and requirement. We are available all time.";"Our community is available 24x7, so you can use it as per your flexibility and requirement. We are available all time."
"Lifetime Free";"Lifetime Free"
"Our membership is free for lifetime. We time to time have paid memberships that can be subscribed on requirement basis.";"Our membership is free for lifetime. We time to time have paid memberships that can be subscribed on requirement basis."
"Responsive";"Responsive"
"Our community is 100% responsive, so you can use it anywhere, & anytime from your laptop, mobile or any another device.";"Our community is 100% responsive, so you can use it anywhere, & anytime from your laptop, mobile or any another device."
"Directories";"Directories"
"If you are business owner, or have any directory to highlight in this community, you can easily upload the same in Directories section.";"If you are business owner, or have any directory to highlight in this community, you can easily upload the same in Directories section."
"Groups";"Groups"
"Create your own groups, or join existing groups in our community and meet many new people inside.";"Create your own groups, or join existing groups in our community and meet many new people inside."
"Secure";"Secure"
"Our website is secure and thus any transactions if made through our community are 100% secure and safe.";"Our website is secure and thus any transactions if made through our community are 100% secure and safe."
"E-commerce";"E-commerce"
"We are coming up with our own e-commerce store where you can sell, purchase products of your choice.";"We are coming up with our own e-commerce store where you can sell, purchase products of your choice."
"Easy to Use";"Easy to Use"
"Our community is very user friendly and easy to use. We also have FAQs and tutorials if in case you need any help.";"Our community is very user friendly and easy to use. We also have FAQs and tutorials if in case you need any help."
"Our Mobile Apps";"Our Mobile Apps"
"Get access to our community on your smart mobile phones and access all the features quickly easily accessible within your palm.";"Get access to our community on your smart mobile phones and access all the features quickly easily accessible within your palm."
"Simple search, instant updates and a great user experience.";"Simple search, instant updates and a great user experience."
"Upload Photos, Manage albums & Edit your profile easily.";"Upload Photos, Manage albums & Edit your profile easily."
"Get instant notifications about all key updates.";"Get instant notifications about all key updates."
"Download our apps which are the best rated in online communities.";"Download our apps which are the best rated in online communities."
"Get our apps";"Get our apps"
"Enter your email and we''ll send you the links to them. Open the links in your phone and download our app.";"Enter your email and we''ll send you the links to them. Open the links in your phone and download our app."
"Enter Your Email";"Enter Your Email"
"E-mail App Links";"E-mail App Links"
"How it Works?";"How it Works?"
"You must be wondering how our community works. It’s too easy and in few steps:";"You must be wondering how our community works. It’s too easy and in few steps:"
"Signup / Login";"Signup / Login"
"You need to signup on our community to get started. If already have an account, simply login with your details.";"You need to signup on our community to get started. If already have an account, simply login with your details."
"Post Content";"Post Content"
"Start by posting your updates, content like groups, contests, pages, businesses, blogs, quotes, etc inside.";"Start by posting your updates, content like groups, contests, pages, businesses, blogs, quotes, etc inside."
"Share Globally";"Share Globally"
"You can share content, profiles or posts from within this community to many social networking sites globally.";"You can share content, profiles or posts from within this community to many social networking sites globally."
"Post your ideas, listings, quotes, prayers, groups and share globally !!";"Post your ideas, listings, quotes, prayers, groups and share globally !!"
"Explore Popular Blogs";"Explore Popular Blogs"
"Post Your Listing";"Post Your Listing"
"Join Groups of Your Interest";"Join Groups of Your Interest"
"View All Messages";"View All Messages"
"Add New Custom Theme";"Add New Custom Theme"
"Edit Custom Theme Name";"Edit Custom Theme Name"
"Delete Custom Theme";"Delete Custom Theme"
"Responsive A to Z Theme";"Responsive A to Z Theme"

"Mobile Friendly";"Mobile Friendly"
